model,n_forecasts,mae,rmse,bias,mape
British Red Cross simulation,1,3054,3054,-3054,11.304412200177673
GPT-3.5 Turbo,1,3920,3920,3920,14.50992004737933
GPT-4.1,1,4490.3464700013465,4490.3464700013465,4490.3464700013465,16.62106333284478
GPT-5.2,1,9836.075666666657,9836.075666666657,9836.075666666657,36.452861678340646
Gemini Pro 3 (simulation),1,10701.016860233656,10701.016860233656,10701.016860233656,39.609923231543
Claude Sonnet 4.5 (forecast),1,11221.61317443027,11221.61317443027,11221.61317443027,41.58771513334422
Claude Sonnet 4.5 (simulation),1,11434,11434,11434,42.32306781166716
GPT-4o,1,16603.138747340097,16603.138747340097,-16603.138747340097,61.4566876937374
Gemini Pro 3 (forecast),1,NA,NA,NA,NA
