model,n_forecasts,mae,rmse,bias,mape
British Red Cross simulation,12,439.66666666666663,655.9942835116782,-254.5,15.900902626968183
GPT-4.1,12,722.7258069124345,832.2846911759839,374.19553916677893,39.249525540436686
Claude Sonnet 4.5 (forecast),13,975.7430738204063,1212.7736365745213,863.2010134177136,697.3462352556026
Gemini Pro 3 (simulation),12,994.5706152940037,1150.363474693871,891.7514050194711,56.714965955846395
Claude Sonnet 4.5 (simulation),12,1017.1666666666666,1106.4108640102916,952.8333333333334,53.12412169441422
GPT-5.2,13,1239.4249487179477,1595.8608584032618,756.6212051282047,955.2850912967959
GPT-4o,12,1383.594895611675,1585.8137702187562,-1383.594895611675,56.971028124121084
GPT-3.5 Turbo,12,1383.5948956165714,1585.8137702233626,-1383.5948956165714,56.97102812432528
Gemini Pro 3 (forecast),12,NA,NA,NA,NA
